NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GLI1_UP.V1_DN	17	16		
GLI1_UP.V1_UP	24	23		
GCNP_SHH_UP_EARLY.V1_DN	167	127		
GCNP_SHH_UP_LATE.V1_DN	178	141		
RAPA_EARLY_UP.V1_DN	185	139		
RAPA_EARLY_UP.V1_UP	167	112		
HINATA_NFKB_MATRIX	11		Rejected!	
CYCLIN_D1_KE_.V1_UP	188	156		
CYCLIN_D1_UP.V1_UP	187	137		
CSR_EARLY_UP.V1_DN	126	119		
VEGF_A_UP.V1_UP	195	155		
BCAT_GDS748_DN	45	39		
BCAT_GDS748_UP	48	41		
BCAT.100_UP.V1_DN	41	29		
BCAT.100_UP.V1_UP	49	37		
ATF2_S_UP.V1_UP	192	137		
ATF2_UP.V1_UP	190	125		
WNT_UP.V1_UP	178	116		
ATM_DN.V1_DN	146	71		
ATM_DN.V1_UP	146	86		
P53_DN.V2_DN	145	103		
RELA_DN.V1_DN	139	81		
BCAT_BILD_ET_AL_DN	46	45		
BCAT_BILD_ET_AL_UP	45	39		
E2F3_UP.V1_UP	190	154		
CAMP_UP.V1_DN	199	186		
CAMP_UP.V1_UP	200	196		
PRC1_BMI_UP.V1_UP	185	114		
PRC2_EED_DN.V1_UP	191	141		
PRC2_EZH2_UP.V1_UP	192	160		
PRC2_SUZ12_UP.V1_UP	185	129		
JNK_DN.V1_DN	190	135		
JNK_DN.V1_UP	186	127		
BRCA1_DN.V1_UP	133	63		
CTIP_DN.V1_UP	135	70		
PKCA_DN.V1_DN	154	112		
MTOR_UP.N4.V1_DN	184	169		
PTEN_DN.V2_UP	139	104		
DCA_UP.V1_UP	185	108		
ESC_J1_UP_EARLY.V1_UP	178	139		
ESC_J1_UP_LATE.V1_UP	185	135		
ESC_V6.5_UP_EARLY.V1_UP	164	127		
ESC_V6.5_UP_LATE.V1_UP	182	144		
PTEN_DN.V1_DN	184	102		
NOTCH_DN.V1_DN	183	106		
EIF4E_DN	100	92		
EIF4E_UP	100	87		
CRX_DN.V1_DN	132	92		
CRX_DN.V1_UP	135	101		
CRX_NRL_DN.V1_DN	126	100		
CRX_NRL_DN.V1_UP	140	110		
NRL_DN.V1_DN	132	101		
NRL_DN.V1_UP	136	109		
RB_DN.V1_DN	123	108		
RB_P107_DN.V1_DN	126	118		
RB_P130_DN.V1_DN	135	122		
CAHOY_ASTROCYTIC	100	70		
CAHOY_NEURONAL	100	50		
CAHOY_OLIGODENDROCUTIC	100	76		
IL15_UP.V1_DN	185	112		
IL2_UP.V1_DN	193	128		
IL21_UP.V1_DN	186	109		
PDGF_ERK_DN.V1_DN	149	134		
PDGF_ERK_DN.V1_UP	145	119		
PDGF_UP.V1_DN	135	81		
PDGF_UP.V1_UP	146	137		
TGFB_UP.V1_DN	191	164		
YAP1_DN	47	33		
YAP1_UP	47	43		
SIRNA_EIF4GI_DN	98	85		
SIRNA_EIF4GI_UP	95	89		
SINGH_KRAS_DEPENDENCY_SIGNATURE	20		Rejected!	
STK33_DN	280	226		
STK33_NOMO_DN	282	217		
STK33_SKM_DN	276	207		
KRAS.DF.V1_DN	193	144		
TBK1.DN.48HRS_DN	50	48		
TBK1.DN.48HRS_UP	50	46		
NFE2L2.V2	469	307		
CORDENONSI_YAP_CONSERVED_SIGNATURE	58	57		
JAK2_DN.V1_DN	146	128		
JAK2_DN.V1_UP	183	92		
PGF_UP.V1_DN	190	121		
E2F1_UP.V1_DN	187	172		
EGFR_UP.V1_UP	192	176		
ERBB2_UP.V1_UP	190	173		
CYCLIN_D1_KE_.V1_DN	191	125		
CYCLIN_D1_UP.V1_DN	190	140		
AKT_UP_MTOR_DN.V1_DN	186	153		
AKT_UP.V1_DN	188	156		
MTOR_UP.V1_DN	182	150		
VEGF_A_UP.V1_DN	193	182		
ATF2_S_UP.V1_DN	187	152		
ATF2_UP.V1_DN	185	159		
P53_DN.V1_DN	194	162		
SNF5_DN.V1_DN	157	116		
