NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	191		
HALLMARK_HYPOXIA	200	179		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	70		
HALLMARK_MITOTIC_SPINDLE	199	199		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	37		
HALLMARK_TGF_BETA_SIGNALING	54	52		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	70		
HALLMARK_DNA_REPAIR	150	150		
HALLMARK_G2M_CHECKPOINT	200	199		
HALLMARK_APOPTOSIS	161	148		
HALLMARK_NOTCH_SIGNALING	32	31		
HALLMARK_ADIPOGENESIS	200	186		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	179		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	166		
HALLMARK_ANDROGEN_RESPONSE	100	92		
HALLMARK_MYOGENESIS	200	156		
HALLMARK_PROTEIN_SECRETION	96	95		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	94		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	182		
HALLMARK_APICAL_JUNCTION	200	163		
HALLMARK_APICAL_SURFACE	44	36		
HALLMARK_HEDGEHOG_SIGNALING	36	30		
HALLMARK_COMPLEMENT	200	162		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	112		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	98		
HALLMARK_MTORC1_SIGNALING	200	198		
HALLMARK_E2F_TARGETS	200	199		
HALLMARK_MYC_TARGETS_V1	200	200		
HALLMARK_MYC_TARGETS_V2	58	58		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	194		
HALLMARK_INFLAMMATORY_RESPONSE	200	159		
HALLMARK_XENOBIOTIC_METABOLISM	200	156		
HALLMARK_FATTY_ACID_METABOLISM	158	139		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	198		
HALLMARK_GLYCOLYSIS	200	177		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	47		
HALLMARK_P53_PATHWAY	200	185		
HALLMARK_UV_RESPONSE_UP	158	146		
HALLMARK_UV_RESPONSE_DN	144	144		
HALLMARK_ANGIOGENESIS	36	28		
HALLMARK_HEME_METABOLISM	200	170		
HALLMARK_COAGULATION	138	95		
HALLMARK_IL2_STAT5_SIGNALING	199	171		
HALLMARK_BILE_ACID_METABOLISM	112	84		
HALLMARK_PEROXISOME	104	88		
HALLMARK_ALLOGRAFT_REJECTION	200	146		
HALLMARK_SPERMATOGENESIS	135	79		
HALLMARK_KRAS_SIGNALING_UP	200	161		
HALLMARK_KRAS_SIGNALING_DN	200	106		
HALLMARK_PANCREAS_BETA_CELLS	40	19		
